title,media,date,datetime,desc,link,img
"TCS, Infosys, HCL Technologies: Insights into Q4 Results Expectations",PUNE PULSE,5 hours ago,2024-04-06 13:12:31.873950,Analysts on Dalal Street have varied perspectives on the upcoming fourth-quarter results of the information technology (IT) sector.,https://www.mypunepulse.com/tcs-infosys-hcl-technologies-insights-into-q4-results-expectations/&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIBxAC&usg=AOvVaw3S9ObvJvXRUVKHgYW-UMo_,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Income Tax Department is set to refund Rs 6329 crore to Infosys as a tax refund IT Voice | IT in Depth,IT Voice,6 hours ago,2024-04-06 12:12:31.884172,"Infosys, the country's second-largest IT services company, has disclosed that it anticipates a refund of Rs 6329 crore from the Income Tax Department.",https://www.itvoice.in/the-income-tax-department-is-set-to-refund-rs-6329-crore-to-infosys-as-a-tax-refund&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQICRAC&usg=AOvVaw2TlR5SPygvw3ru3ZRyHSTv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Infosys Ltd. ADR rises Friday, still underperforms market",MarketWatch,5 hours ago,2024-04-06 13:12:31.884172,"The Infosys Ltd. ADR inched 0.45% higher to $17.83 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500.",https://www.marketwatch.com/data-news/infosys-ltd-adr-rises-friday-still-underperforms-market-d224e97f-506fde4c291d&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIBBAC&usg=AOvVaw35KxESRJzjzFG9o3h4HfmU,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Infosys founder Narayana Murthy says he starved for 120 hours straight during hitchhike in Europe 50 years ago,MSN,5 hours ago,2024-04-06 13:12:31.889700,"Narayana Murthy said that 50 years ago, “I experienced hunger for 120 hours non-stop when I was hitchhiking in Europe.",https://www.msn.com/en-in/lifestyle/whats-hot/infosys-founder-narayana-murthy-says-he-starved-for-120-hours-straight-during-hitchhike-in-europe-50-years-ago/ar-BB1l2DAB&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIARAC&usg=AOvVaw17CQg7n5oOvp3Q72TenzPO,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Parag Parikh Flexi Cap, Nestle, HUL, Infosys, TCS, Gold Bonds and More: Rahul Gandhi's Full Rs 9.24 Crore Portfolio ...",MSN,5 hours ago,2024-04-06 13:12:31.891708,"Congress leader Rahul Gandhi declared assets worth Rs 9.24 crore, including equities, mutual funds, sovereign gold bonds etc. while filing an affidavit to...",https://www.msn.com/en-in/money/news/parag-parikh-flexi-cap-nestle-hul-infosys-tcs-gold-bonds-and-more-rahul-gandhi-s-full-rs-9-24-crore-portfolio-revealed/ar-BB1l3lVj&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIABAC&usg=AOvVaw12l7560QvvmbKqlqikd4gy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Cloud Digital Process Automation Market 2023 [SWOT] Analysis | Cognizant, IBM Corporation, Infosys Limited",amore.ng,6 hours ago,2024-04-06 12:12:31.892723,"Cloud Digital Process Automation Market 2023 [SWOT] Analysis | Cognizant, IBM Corporation, Infosys Limited - Amoré.",http://amore.ng/news/48/cloud-digital-process-automation-market-2023-swot-analysis-cognizant-ibm-corporation-infosys-limited/&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIBhAC&usg=AOvVaw1geRiBZ2_zCi3oa9NQuubk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Narayana Murthy's Impresive Success Story,Jagran Josh,8 hours ago,2024-04-06 10:12:31.892723,"Narayana Murthys journey from his beginnings in Mysore, India, to becoming the co-founder of Infosys, one of the worlds leading IT companies,...",https://www.jagranjosh.com/web-stories/narayana-murthy-impressive-success-story-87679&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIAxAC&usg=AOvVaw2ymr1eUfK36SnUZ-JG4t9I,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Infosys Outlook for the Week (April 08, 2024 - April 12, 2024)",Equitypandit,1 hours ago,2024-04-06 17:12:31.892723,"Technically, Infosys share price will see immediate support at 1,454.75 and immediate resistance would be seen at 1,516.70. If Infosys share price closes...",https://www.equitypandit.com/infosys-outlook-for-the-week-april-08-2024-april-12-2024/&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIAhAC&usg=AOvVaw05ZgmL3xOm_RavrSHN6BWh,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Model Based Testing Market 2024 Revenue and Share Analysis | Infosys, HCL Technologies, Microsoft",amore.ng,1 hours ago,2024-04-06 17:12:31.892723,"Model Based Testing Market 2024 Revenue and Share Analysis | Infosys, HCL Technologies, Microsoft - Amoré.",http://amore.ng/news/16/model-based-testing-market-2024-revenue-and-share-analysis-infosys-hcl-technologies-microsoft/&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQIBRAC&usg=AOvVaw2zlyyyZ-G4ptQ1oeGpPMrk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Infosys Share Price Updates: Infosys Sees Marginal Price Increase Today Despite 3-Month Returns Dip,The Economic Times,3 hours ago,2024-04-06 15:12:31.892723,"Welcome to the Infosys Stock Liveblog, your ultimate source for real-time updates and analysis of one of the most prominent stocks in the market.",https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/infosys-share-price-live-updates-05-apr-2024/liveblog/109051018.cms&ved=2ahUKEwjU5Ma-zq2FAxVZbWwGHcTDAy8QxfQBegQICBAC&usg=AOvVaw3CAkEiOHNCjIwUSNoAloxZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
